x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
4.4000000000e-02,-7.4263881766e-19,-1.5298330489e-02,2.8566993003e-02,8.3594836399e-04,-1.4474783177e-02,2.6767264876e-02
4.4666666667e-02,-7.5219494275e-19,-1.5711631751e-02,2.8934587252e-02,8.4514906755e-04,-1.4863198946e-02,2.7108620269e-02
4.5333333333e-02,-7.6170239504e-19,-1.6129769381e-02,2.9300309211e-02,8.5421857945e-04,-1.5256092383e-02,2.7448148333e-02
4.6000000000e-02,-7.7116125971e-19,-1.6552718472e-02,2.9664162156e-02,8.6315611876e-04,-1.5653439237e-02,2.7785852915e-02
4.6666666667e-02,-7.8057162191e-19,-1.6980454160e-02,3.0026149362e-02,8.7196092731e-04,-1.6055215305e-02,2.8121737858e-02
4.7333333333e-02,-7.8993356672e-19,-1.7412951625e-02,3.0386274103e-02,8.8063226950e-04,-1.6461396437e-02,2.8455806999e-02
4.8000000000e-02,-7.9924717916e-19,-1.7850186090e-02,3.0744539649e-02,8.8916943208e-04,-1.6871958534e-02,2.8788064168e-02
4.8666666667e-02,-8.0851254420e-19,-1.8292132824e-02,3.1100949268e-02,8.9757172399e-04,-1.7286877545e-02,2.9118513193e-02
4.9333333333e-02,-8.1772974674e-19,-1.8738767135e-02,3.1455506227e-02,9.0583847614e-04,-1.7706129474e-02,2.9447157895e-02
5.0000000000e-02,-8.2689887165e-19,-1.9190064380e-02,3.1808213789e-02,9.1396904123e-04,-1.8129690373e-02,2.9774002089e-02
5.0666666667e-02,-8.3602000373e-19,-1.9645999955e-02,3.2159075218e-02,9.2196279353e-04,-1.8557536345e-02,3.0099049585e-02
5.1333333333e-02,-8.4509322770e-19,-2.0106549302e-02,3.2508093771e-02,9.2981912874e-04,-1.8989643544e-02,3.0422304188e-02
5.2000000000e-02,-8.5411862828e-19,-2.0571687905e-02,3.2855272708e-02,9.3753746374e-04,-1.9425988175e-02,3.0743769699e-02
5.2666666667e-02,-8.6309629007e-19,-2.1041391292e-02,3.3200615283e-02,9.4511723644e-04,-1.9866546493e-02,3.1063449912e-02
5.3333333333e-02,-8.7202629766e-19,-2.1515635035e-02,3.3544124750e-02,9.5255790559e-04,-2.0311294804e-02,3.1381348616e-02
5.4000000000e-02,-8.8090873556e-19,-2.1994394748e-02,3.3885804359e-02,9.5985895057e-04,-2.0760209463e-02,3.1697469594e-02
5.4666666667e-02,-8.8974368824e-19,-2.2477646090e-02,3.4225657361e-02,9.6701987123e-04,-2.1213266876e-02,3.2011816626e-02
5.5333333333e-02,-8.9853124011e-19,-2.2965364760e-02,3.4563687002e-02,9.7404018767e-04,-2.1670443500e-02,3.2324393485e-02
5.6000000000e-02,-9.0727147550e-19,-2.3457526505e-02,3.4899896526e-02,9.8091944010e-04,-2.2131715841e-02,3.2635203939e-02
5.6666666667e-02,-9.1596447873e-19,-2.3954107111e-02,3.5234289176e-02,9.8765718861e-04,-2.2597060455e-02,3.2944251752e-02
5.7333333333e-02,-9.2461033402e-19,-2.4455082410e-02,3.5566868192e-02,9.9425301304e-04,-2.3066453949e-02,3.3251540680e-02
5.8000000000e-02,-9.3320912556e-19,-2.4960428275e-02,3.5897636814e-02,1.0007065127e-03,-2.3539872980e-02,3.3557074477e-02
5.8666666667e-02,-9.4176093748e-19,-2.5470120624e-02,3.6226598276e-02,1.0070173064e-03,-2.4017294253e-02,3.3860856890e-02
5.9333333333e-02,-9.5026585385e-19,-2.5984135417e-02,3.6553755813e-02,1.0131850320e-03,-2.4498694524e-02,3.4162891662e-02
6.0000000000e-02,-9.5872395869e-19,-2.6502448658e-02,3.6879112656e-02,1.0192093464e-03,-2.4984050600e-02,3.4463182528e-02
6.0666666667e-02,-9.6713533595e-19,-2.7025036393e-02,3.7202672036e-02,1.0250899253e-03,-2.5473339335e-02,3.4761733221e-02
6.1333333333e-02,-9.7550006954e-19,-2.7551874710e-02,3.7524437180e-02,1.0308264631e-03,-2.5966537635e-02,3.5058547468e-02
6.2000000000e-02,-9.8381824331e-19,-2.8082939744e-02,3.7844411313e-02,1.0364186726e-03,-2.6463622454e-02,3.5353628990e-02
6.2666666667e-02,-9.9208994106e-19,-2.8618207668e-02,3.8162597659e-02,1.0418662849e-03,-2.6964570796e-02,3.5646981504e-02
6.3333333333e-02,-1.0003152465e-18,-2.9157654702e-02,3.8478999439e-02,1.0471690494e-03,-2.7469359714e-02,3.5938608721e-02
6.4000000000e-02,-1.0084942434e-18,-2.9701257107e-02,3.8793619871e-02,1.0523267331e-03,-2.7977966311e-02,3.6228514346e-02
